distance,intensity,jnd,userid
50,70,-68.15194941,29_86
0,10,0.030279332,136_84
0,10,0.286333586,127_176
0,10,0.337453164,182_32
75,10,0.349994999,67_103
50,10,0.350078466,187_24
50,10,0.362738781,136_84
75,10,0.369859825,136_84
0,10,0.413713356,46_35
0,10,0.4153851,12_92
0,10,0.426920965,99_48
0,10,0.435982851,73_64
50,10,0.447477771,12_92
25,10,0.451099903,136_84
0,10,0.451836255,70_123
25,10,0.457611013,182_32
25,10,0.458712071,12_92
100,10,0.462708518,136_84
50,10,0.468056016,99_48
50,10,0.472134416,46_35
0,10,0.48221913,187_24
0,10,0.486887008,86_126
0,10,0.492916979,109_53
50,10,0.496595957,86_126
25,10,0.507615325,127_176
0,10,0.511474992,67_103
100,10,0.528572607,12_92
25,10,0.542026196,187_24
75,10,0.542784751,46_35
25,10,0.552930627,46_35
50,10,0.556304462,182_32
75,10,0.556413826,127_176
25,10,0.572899155,109_53
25,10,0.580705289,99_48
0,10,0.598365708,35_40
25,10,0.605318163,86_126
25,10,0.607583695,122_77
75,10,0.610665132,99_48
0,10,0.611501011,139_136
0,10,0.658108016,90_75
75,10,0.667023105,70_123
0,10,0.682101368,103_61
50,10,0.682156964,122_77
25,10,0.683699904,67_103
75,10,0.686357725,86_126
50,10,0.68704291,127_176
75,10,0.687254655,109_53
75,10,0.697893037,12_92
0,10,0.697943878,26_182
100,10,0.698365908,46_35
50,10,0.700995966,67_103
0,10,0.701026812,111_81
75,10,0.706843479,187_24
25,10,0.725798709,94_115
75,10,0.729765427,73_64
25,10,0.732698462,70_123
100,10,0.736708707,187_24
100,10,0.747122131,109_53
75,10,0.748366604,182_32
100,10,0.750019261,127_176
0,10,0.756411655,65_71
100,10,0.767008739,73_64
50,10,0.778904993,109_53
100,10,0.782154403,99_48
25,10,0.830697946,73_64
100,10,0.839417282,26_182
100,10,0.842270136,70_123
25,10,0.842893612,35_40
0,10,0.873029898,94_115
50,10,0.881861638,73_64
25,10,0.886365079,103_61
100,10,0.887001761,86_126
25,10,0.915278192,26_182
50,10,0.924253276,26_182
100,10,0.930658875,122_77
75,10,0.941632904,122_77
0,10,0.950650159,122_77
100,10,0.97298166,139_136
100,10,0.985062412,182_32
75,10,0.990587871,26_182
25,10,0.994981911,139_136
50,10,1.007092953,70_123
50,10,1.029982802,103_61
75,10,1.037102667,94_115
75,10,1.05119545,103_61
100,10,1.056675086,35_40
100,10,1.057234054,67_103
50,10,1.088646425,35_40
50,10,1.103686678,111_81
75,10,1.121882961,139_136
50,40,1.134821758,136_84
100,10,1.138234194,103_61
75,10,1.191991041,35_40
25,10,1.194366336,90_75
25,10,1.200775875,111_81
100,10,1.215536149,106_134
75,10,1.258912078,106_134
50,40,1.285848153,99_48
25,40,1.28795522,187_24
100,10,1.3276823,111_81
0,40,1.332601319,127_176
50,10,1.337802706,139_136
50,10,1.341347973,94_115
50,10,1.39776774,106_134
25,40,1.398208505,127_176
100,10,1.409351659,94_115
0,10,1.429779842,106_134
100,10,1.437644006,90_75
0,10,1.469534605,113_120
100,10,1.470370831,4_68
0,40,1.476363954,136_84
25,40,1.496497058,136_84
75,10,1.533882506,113_120
50,10,1.568013769,90_75
50,10,1.572784924,4_68
75,10,1.573090987,90_75
0,40,1.575539149,12_92
25,10,1.577197503,20_43
75,10,1.631485228,65_71
75,40,1.693273634,46_35
0,70,1.781827158,99_48
25,10,1.783316567,106_134
50,40,1.788539866,127_176
50,40,1.796967875,46_35
75,10,1.812646927,149_109
25,40,1.837688553,99_48
25,40,1.847909676,46_35
25,10,1.851550421,113_120
50,10,1.868708951,65_71
100,10,1.897046246,65_71
0,40,1.90389905,99_48
0,40,1.932750955,67_103
25,10,1.948140075,65_71
75,10,1.953351973,4_68
75,40,1.986295233,12_92
25,40,1.998782714,70_123
0,10,2.000936398,149_109
0,40,2.055618585,46_35
50,40,2.061644668,12_92
0,10,2.075252965,29_86
50,10,2.098732541,149_109
50,10,2.104993719,113_120
75,40,2.125053882,182_32
75,10,2.141218211,111_81
100,70,2.147518934,136_84
100,40,2.173408823,187_24
75,40,2.19080956,127_176
50,40,2.19754202,182_32
100,10,2.203821719,113_120
0,40,2.20994442,182_32
0,40,2.209944421,187_24
0,10,2.218621774,133_88
0,10,2.228074241,20_43
25,10,2.245204845,149_109
25,40,2.254182495,73_64
75,10,2.28145642,20_43
100,40,2.288134604,46_35
50,40,2.293134328,187_24
75,10,2.319700324,133_88
0,40,2.33148114,122_77
100,40,2.40798409,136_84
100,40,2.448169153,67_103
0,40,2.456449519,26_182
75,40,2.469658534,139_136
75,40,2.497686354,67_103
0,40,2.531903685,73_64
25,40,2.531903686,182_32
100,40,2.532120981,70_123
75,40,2.533959263,99_48
75,40,2.551765417,109_53
25,10,2.585207216,133_88
0,40,2.593634716,103_61
25,40,2.606959273,12_92
50,40,2.628137178,139_136
100,40,2.629294468,99_48
75,40,2.63783828,187_24
100,70,2.649251221,99_48
50,40,2.654936977,67_103
0,40,2.654936977,94_115
25,10,2.662985107,29_86
75,40,2.664949543,103_61
0,40,2.668946929,35_40
50,130,2.679371662,127_176
0,40,2.756354946,86_126
0,70,2.839476813,127_176
100,40,2.848310919,86_126
25,70,2.901803177,99_48
75,40,2.902511932,136_84
100,40,2.905496488,12_92
50,40,2.933155802,35_40
100,40,2.942900778,103_61
100,40,2.954464946,127_176
25,40,2.954464946,86_126
0,40,2.969435397,90_75
50,40,2.969536392,109_53
0,70,2.969646241,136_84
50,40,2.975960212,70_123
50,40,2.978046954,122_77
50,130,2.999036047,99_48
100,10,3.017709753,133_88
100,70,3.026293479,127_176
50,10,3.045067024,20_43
50,40,3.053795765,103_61
25,100,3.062831964,136_84
75,100,3.06283197,187_24
25,40,3.083149735,103_61
75,40,3.102422219,70_123
100,40,3.115659569,109_53
25,40,3.12052168,94_115
50,70,3.128336041,136_84
50,70,3.146093235,70_123
50,10,3.191379629,133_88
25,10,3.192403818,4_68
0,40,3.197388224,70_123
100,40,3.20625382,122_77
100,40,3.20968017,182_32
75,100,3.219486387,99_48
50,70,3.231806238,187_24
25,40,3.234395158,67_103
75,40,3.256784369,122_77
50,100,3.273650152,187_24
75,40,3.310671747,26_182
25,40,3.350009378,26_182
50,40,3.358350198,26_182
0,40,3.384056107,109_53
75,40,3.427556579,94_115
50,10,3.438906812,29_86
0,100,3.446879542,127_176
25,40,3.473266124,109_53
75,70,3.480995068,127_176
25,40,3.488331878,122_77
0,100,3.497156559,99_48
75,100,3.504263494,127_176
75,70,3.513872482,99_48
0,100,3.541157964,136_84
75,100,3.541157964,73_64
0,100,3.589814479,187_24
50,40,3.621748048,94_115
50,130,3.624204402,73_64
50,100,3.681000473,136_84
50,40,3.685981633,4_68
50,130,3.705776586,136_84
0,70,3.726044356,187_24
75,40,3.750676917,73_64
25,70,3.756782129,187_24
100,10,3.76076466,20_43
50,70,3.769235212,127_176
25,70,3.801431915,46_35
100,40,3.806997366,26_182
0,70,3.807426233,70_123
75,100,3.824584242,136_84
75,70,3.855508953,136_84
75,70,3.864894101,12_92
100,70,3.876357826,12_92
0,130,3.92648494,99_48
100,10,3.944434141,149_109
50,40,3.945561346,86_126
50,100,3.962263367,99_48
0,40,3.989405299,111_81
0,70,4.006316848,86_126
25,70,4.07464404,127_176
100,70,4.101160804,109_53
75,40,4.103034991,86_126
25,100,4.116796292,99_48
25,130,4.152935438,86_126
50,130,4.152935438,187_24
25,70,4.162900045,12_92
0,70,4.163932602,73_64
75,100,4.164375961,46_35
100,40,4.165510741,94_115
25,130,4.197834035,127_176
50,70,4.198938116,99_48
100,40,4.199804504,106_134
100,70,4.206023155,94_115
50,70,4.228144549,109_53
50,70,4.252955813,67_103
50,70,4.25957577,46_35
100,70,4.281880632,46_35
50,40,4.314957919,73_64
0,70,4.33642039,26_182
25,40,4.392710637,139_136
50,130,4.403766558,109_53
75,70,4.427513585,187_24
75,70,4.471043733,103_61
50,40,4.494489844,90_75
25,40,4.519280349,113_120
50,100,4.522002063,103_61
0,40,4.537423775,106_134
0,70,4.545286898,182_32
100,70,4.561931889,70_123
100,70,4.565377202,67_103
100,40,4.571038378,139_136
0,70,4.578666142,67_103
0,70,4.619387005,109_53
50,130,4.630435641,70_123
25,40,4.630831197,35_40
50,130,4.631210936,12_92
100,70,4.654941069,26_182
75,40,4.680129809,35_40
25,40,4.707305487,106_134
50,100,4.73378477,12_92
100,40,4.741453823,113_120
25,130,4.745695165,99_48
25,40,4.745881358,4_68
50,130,4.747460017,46_35
25,100,4.76252048,70_123
50,130,4.787307458,103_61
100,40,4.830038904,65_71
0,40,4.850978075,139_136
0,40,4.85200229,65_71
75,40,4.852002296,111_81
25,100,4.868359271,127_176
75,70,4.878053142,67_103
25,130,4.890844915,12_92
50,100,4.932380686,73_64
100,70,4.95085762,35_40
50,100,4.955040328,182_32
75,100,4.960290328,12_92
25,100,4.964632246,46_35
25,70,4.980222428,94_115
50,100,5.009480493,46_35
0,100,5.037104609,46_35
0,100,5.064628041,122_77
75,70,5.071818906,70_123
75,100,5.090774078,26_182
0,130,5.096352965,136_84
25,40,5.15232013,111_81
50,70,5.167648156,35_40
0,100,5.179588159,109_53
50,100,5.19243197,127_176
100,70,5.215128861,122_77
50,70,5.21970658,182_32
25,70,5.224331841,136_84
0,70,5.246954236,12_92
75,40,5.264834769,90_75
50,70,5.289771946,94_115
75,70,5.289771952,46_35
25,70,5.297273871,86_126
100,40,5.307437038,4_68
0,130,5.312346549,70_123
75,70,5.32188667,139_136
0,70,5.345917383,46_35
0,70,5.358523592,122_77
75,100,5.360270277,94_115
0,40,5.372083128,4_68
50,70,5.392309569,12_92
0,100,5.400139474,70_123
25,70,5.415629607,122_77
25,130,5.438734683,187_24
75,70,5.440307424,182_32
75,100,5.446360822,86_126
0,100,5.498266368,86_126
25,130,5.535543661,103_61
75,100,5.545107635,35_40
75,70,5.57658148,109_53
50,40,5.600115837,106_134
25,100,5.608913286,187_24
100,40,5.67216159,20_43
100,70,5.70098228,187_24
50,70,5.733436347,103_61
100,40,5.760404635,35_40
25,40,5.807622395,133_88
0,40,5.809380293,20_43
75,100,5.814992453,109_53
25,100,5.817765234,182_32
25,40,5.838463373,90_75
0,70,5.843475511,35_40
0,10,5.877913973,4_68
50,40,5.879390372,65_71
75,100,5.883406013,103_61
25,70,5.908954634,103_61
50,70,5.999007787,139_136
50,130,6.04452553,122_77
25,40,6.094358685,65_71
50,70,6.104039462,122_77
25,130,6.1104636,70_123
50,70,6.134231039,73_64
0,70,6.135318627,94_115
50,100,6.153007331,35_40
0,130,6.178822996,127_176
25,70,6.189403461,109_53
25,70,6.20054876,67_103
100,40,6.205893759,90_75
75,40,6.20821609,4_68
25,130,6.215864208,26_182
25,100,6.281218584,103_61
25,100,6.281243835,94_115
25,100,6.284361178,139_136
100,70,6.300946997,103_61
0,70,6.352538355,90_75
0,130,6.369786213,187_24
50,130,6.390859325,139_136
75,70,6.406289464,94_115
0,130,6.419157927,139_136
25,70,6.480173687,70_123
0,40,6.501757606,113_120
50,130,6.504080754,86_126
75,40,6.578150663,20_43
50,70,6.611109718,86_126
75,40,6.615917256,65_71
75,100,6.641954137,122_77
25,130,6.65412916,136_84
0,70,6.666772503,103_61
75,70,6.709117537,122_77
25,100,6.718064881,73_64
100,70,6.723096277,86_126
25,100,6.755265527,122_77
50,40,6.789706837,149_109
75,100,6.790067033,70_123
25,70,6.800411817,182_32
25,130,6.840004443,94_115
50,130,6.870728276,67_103
25,40,6.879717841,20_43
0,130,6.900588422,12_92
50,100,6.948202354,65_71
50,130,6.961769056,26_182
0,100,6.981220097,94_115
50,70,7.004999805,26_182
0,40,7.005682105,133_88
0,100,7.012753757,12_92
25,100,7.061884613,67_103
75,100,7.113759145,139_136
0,130,7.120502869,67_103
100,40,7.148399571,73_64
75,40,7.148991715,149_109
50,100,7.171884842,86_126
50,70,7.178282862,113_120
50,100,7.191226707,67_103
25,100,7.195072374,26_182
25,100,7.227936563,12_92
100,70,7.265737853,113_120
0,130,7.280853884,86_126
50,100,7.301649992,94_115
75,70,7.320376243,106_134
50,130,7.330198731,65_71
75,70,7.365479726,65_71
50,70,7.448555825,65_71
25,100,7.468779226,109_53
75,70,7.512865812,73_64
25,130,7.537462301,182_32
25,100,7.548374796,35_40
100,70,7.56152377,20_43
25,130,7.567229769,90_75
25,70,7.574000839,139_136
75,70,7.595374032,86_126
50,100,7.60359109,70_123
25,130,7.678515023,35_40
0,100,7.700078945,67_103
0,100,7.769572519,73_64
50,130,7.802201338,35_40
25,70,7.856334697,26_182
75,70,7.873424487,20_43
75,40,7.87886574,106_134
25,130,7.882659537,73_64
25,130,7.89036699,139_136
100,10,7.961782791,29_86
25,130,7.986459216,67_103
0,130,7.986459216,73_64
0,100,7.994544151,139_136
75,100,7.997561182,20_43
0,130,8.044498873,109_53
25,100,8.065498657,86_126
75,100,8.209954919,67_103
0,100,8.241929355,182_32
0,100,8.3293653,103_61
100,40,8.355606675,111_81
50,40,8.372446847,20_43
0,70,8.394995241,106_134
75,100,8.450767761,182_32
50,40,8.501419372,133_88
100,70,8.509913287,73_64
75,70,8.592680958,149_109
25,70,8.600449477,35_40
0,100,8.682010084,20_43
50,40,8.691133007,111_81
100,40,8.825251535,149_109
25,70,8.875692187,73_64
75,100,8.927407238,113_120
100,70,8.934067648,106_134
50,130,8.943539028,182_32
50,100,8.974244862,90_75
25,100,9.066888202,20_43
0,100,9.078324927,35_40
0,130,9.112143124,35_40
50,40,9.161318243,113_120
0,130,9.168800258,182_32
75,100,9.191567784,65_71
75,40,9.203986714,133_88
0,70,9.229749801,111_81
75,70,9.258104492,35_40
25,130,9.314216553,46_35
75,70,9.341170735,133_88
25,70,9.470750168,20_43
0,100,9.505885143,26_182
75,70,9.511099096,113_120
75,70,9.526582119,26_182
100,70,9.554538629,139_136
100,70,9.586923109,182_32
100,70,9.614463776,65_71
50,100,9.653656893,109_53
100,70,9.7307971,149_109
50,130,9.826336894,94_115
25,40,9.866571704,149_109
0,40,9.88815689,149_109
0,70,9.944942552,139_136
0,130,10.03582233,94_115
50,130,10.05890116,20_43
75,40,10.15196707,113_120
50,70,10.15605469,149_109
25,130,10.20606705,109_53
0,40,10.21306772,29_86
50,100,10.30530384,122_77
50,100,10.37271974,26_182
75,70,10.38719933,90_75
25,70,10.43147598,113_120
50,70,10.48505534,90_75
25,130,10.56396995,65_71
75,100,10.64198519,90_75
50,100,10.70768867,113_120
50,70,10.78434842,4_68
25,70,10.78576985,90_75
0,130,10.8065632,103_61
0,130,10.80892134,90_75
50,130,10.87834317,113_120
50,70,10.90685428,106_134
0,130,11.05381886,26_182
50,130,11.14089818,90_75
75,10,11.22482737,29_86
0,130,11.40219479,46_35
0,130,11.42840443,65_71
25,100,11.45482516,65_71
100,70,11.45640597,133_88
75,100,11.50933908,111_81
0,100,11.76761989,111_81
100,70,11.90585849,90_75
0,100,11.94466681,65_71
0,70,11.96769523,20_43
25,100,12.15370795,113_120
50,40,12.19884526,29_86
0,70,12.25322159,149_109
25,70,12.34213567,149_109
0,130,12.35614545,113_120
0,70,12.5260128,113_120
75,70,12.79411507,4_68
0,100,12.81061452,90_75
25,100,12.84044824,90_75
50,100,12.94976916,139_136
25,70,12.95148638,133_88
75,100,13.02345788,106_134
25,40,13.10051128,29_86
25,70,13.17727467,65_71
50,70,13.45477851,111_81
0,100,13.46875244,113_120
100,40,13.52078214,29_86
100,40,13.80691442,133_88
0,100,14.04818479,4_68
75,100,14.07416837,133_88
0,100,14.07593608,106_134
25,70,14.08232815,111_81
50,100,14.21284219,149_109
50,130,14.29960802,106_134
0,70,14.45817976,65_71
0,100,14.47145625,133_88
25,130,14.607174,20_43
25,100,14.61574938,4_68
25,130,14.71404671,149_109
50,130,14.97884455,4_68
100,70,14.98714644,4_68
50,70,15.07892616,20_43
25,130,15.30870424,113_120
25,100,15.30897212,133_88
0,130,15.38400595,20_43
100,70,15.59245437,111_81
50,70,15.62091324,133_88
0,70,15.78530233,133_88
25,130,15.90019205,122_77
0,130,15.9157811,111_81
75,100,16.11083586,149_109
50,130,16.19949933,111_81
100,70,16.20683837,29_86
25,130,16.46073438,111_81
50,100,16.91924559,111_81
25,100,17.00405047,111_81
0,130,17.2829547,122_77
25,130,17.40191415,106_134
0,100,17.43811512,149_109
25,70,17.53191501,106_134
50,100,17.69261456,106_134
50,130,18.52842606,133_88
25,100,19.02674984,106_134
0,130,19.34737573,106_134
50,130,19.37514591,149_109
50,100,19.68724364,20_43
25,100,20.12138795,149_109
75,70,20.70278983,111_81
0,70,20.70352439,29_86
50,100,20.81667928,133_88
25,130,22.48527184,133_88
0,100,22.92355228,29_86
0,130,24.02871032,149_109
75,40,25.61785525,29_86
0,70,26.38396518,4_68
25,70,26.78493158,29_86
75,100,27.93868717,4_68
0,130,28.08653423,29_86
50,100,31.16659678,4_68
25,100,32.20431129,29_86
75,100,35.16176425,29_86
0,130,47.44453796,133_88
75,70,51.74960139,29_86
50,130,52.59223104,29_86
25,70,52.78519816,4_68
50,100,57.41066598,29_86
25,130,64.10813237,4_68
25,130,87.87544669,29_86
0,130,121.4691621,4_68
